Source,Target
He’s the_big_fish in the company. ,Anh ta là một người quan trọng trong công ty.
She stole_my_thunder by announcing the news first,Cô ấy cướp mất sự chú ý của tôi bằng cách thông báo tin trước.
You look full_of_the_joys_of_spring this morning.,Bạn trông rất vui vẻ và phấn khởi sáng nay.
The name Susan Thompson rings_a_bell.,Cái tên Susan Thompson nghe rất quen.
"My husband may not be the world’s most glamorous guy, but he_brings_home_the_bacon.","Chồng tôi có thể không phải là một người quyến rũ nhất thế giới, nhưng anh ta là trụ cột trong gia đình."
You really hit_the_nail_on_the_head with that comment.,Cái bình luận của bạn thực sự thật chính xác và sâu sắc
It was a_blessing_in_disguise.,Đó là vận may trong cái rủi.
He was at_death's_door after his heart attack.,Anh ấy đã cận kề cái chết sau cơn đau tim
He didn't_bat_an_eye when he realised he failed the exam.,Anh ấy không bất ngờ khi anh ấy nhận ra anh đã trượt kì thi.
"I stayed up all night studying for that exam, and then it turned_out_to_be_a_breeze!","Tôi đã giành cả đêm để ôn cho bải kiểm tra, và hóa ra nó thực sự dễ dàng"
The new engine design is our ace_in_the_hole – but we have to keep it secret from our competitors.,Cái động cơ mới của ta là lợi thế bí mật của ta – ta phải giữ bí mật với đối thủ cạnh tranh
Don't bring up old arguments; let_sleeping_dogs_lie.,Đừng khơi lại chuyện cũ; hãy để quá khứ yên.
Many companies are jumping on_the_bandwagon.,Nhiều công ty đang chạy theo xu hướng.
He's really on_thin_ice.,Anh ấy đang trong một tình huống nguy hiềm.
"I stayed up all night studying for that exam, and then it turned_out_to_be_a_breeze!","Tôi đã giành cả đêm để ôn cho bải kiểm tra, và hóa ra nó thực sự dễ dàng"
Break_a_leg in your performance!,Chúc may mắn trong buổi diễn nhé!
Like_father_ like_son,Cha nào con nấy
She's pulling_your_leg — there’s no test today!,Cô ấy chỉ đang đùa bạn thôi — hôm nay không có bài kiểm tra đâu!
The plan was home and dry.,Kế hoạch đã thành công.
He finally threw_in_the_towel after years of trying.,"Sau nhiều năm cố gắng, anh ấy cuối cùng cũng bỏ cuộc."
The plan was home and dry.,Kế hoạch đã thành công.
The whole evidance was sweep_under_the_rug,Tất cả bằng chừng đã được giấu 1 cách kỹ càng
He jumped_the_gun and sent it early.,Anh ấy vội vàng và gửi nó quá sớm.
He has been under_the_weather all week.,Anh ấy trông không khỏe cả tuần nay.
Speak_of_the_devil—here he comes!,"Vừa nhắc đến anh ta—anh ta đến kìa!"""
I decided to bite_the_bullet and take the exam,	Tôi quyết định cắn răng chịu đựng và đi thi.
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
Are you pulling_my_leg?,Bạn đang đùa tôi đấy à?
The drink is on the house tonight,Tối nay quán đãi đồ uống miễn phí.
She spilled_the_beans about the wedding plans.,Cô ấy đã tiết lộ kế hoạch đám cưới.
I suddenly lose touch with Mina,Tôi đột nhiên mất liên lạc với Mina.
"After struggling with my work, I finally threw_in_the_towel","Sau khi vật lộn với công việc, tôi cuối cùng cũng bỏ cuộc."
He’s got_cold_feet about the wedding.,	Anh ấy cảm thấy lo lắng trước đám cưới.
I'd buy that car in a_hot_minute if i had the money.,Tôi sẽ mua cái xe đó ngay bây giờ nếu tôi có đủ tiền.
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
He didn't_bat_an_eye when he realised he failed the exam.,Anh ấy không bất ngờ khi anh ấy nhận ra anh đã trượt kì thi.
When are you and Jenny going to tie_the_knot?,Lúc nào bạn và Jenny sẽ cưới nhau?
It was a_blessing_in_disguise.,Đó là vận may trong cái rủi.
Don't cry_over_spilled_milk.,Đừng than vãn chuyện đã rồi. 
Let’s come back soon before_the_heavens_open!,Hãy quay trở lại trước khi trời mưa!
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
I trust her about as_far_as_I_can_throw_her.,Tôi chỉ tin cô ta một chút.
 He had not expected a_hot_potato,Anh ấy đã không ngờ phải đối mặt với một vấn đề nhạy cảm.
Don't bring up old arguments; let_sleeping_dogs_lie.,Đừng khơi lại chuyện cũ; hãy để quá khứ yên.
Are you pulling_my_leg?,Bạn đang đùa tôi đấy à?
It's raining_cats_and_dogs,Trời mưa rất to
"""It's raining_cats_and_dogs outside.",Trời đang mưa như trút nước.
"Once_upon_a_time, there was a girl living inside that forest.","Ngày xưa, có một cô gái sống trong khu rừng đó."
I'll keep_an_good_eye on your house when you're gone,Tôi sẽ trông nom ngôi nhà của bạn cẩn thận khi bạn đi vắng.
Please come in and make_yourself_at_home.,Hãy vào và tự nhiên như ở nhà.
I'll eat dinner on_the_fly,Tôi sẽ ăn tối trên đường.
It's time to break_the_ice and introduce yourself.,Đã đến lúc phá vỡ khoảng cách và giới thiệu bản thân.
He passed the exam by_the_skin_of_his_teeth.,Anh ấy vừa đủ điểm để qua kỳ thi.
The_ball_is_in_your_court_now.,	Quyết định giờ là ở bạn.
The plan went_down_in_flames.,Kế hoạch thành ra thảm bại.
I'll play_devil's_advocate to challenge your ideas.,Tôi sẽ đóng vai phản biện để thử thách ý tưởng của bạn.
He is the Jack_of_all_trades and master_of_none.,Nghề nào anh cũng biết nhưng chẳng tinh nghề nào.
Let the_cat_out_of_the_bag.,Tiết lộ bí mật.
We're like chalks_and_cheese,Chúng tôi khác biệt hoàn toàn
I was sick_as_a_parrot after seeing them lost the game,Tôi đã rất thất vọng sau khi thấy họ thua trận.
I drove_home_hell_for_leather,Tôi đã lái xe rất nhanh về nhà
I missed_the_boat on investing in that company.,Tôi đã bỏ lỡ cơ hội đầu tư vào công ty đó.
The whole evidance was sweep_under_the_rug,Tất cả bằng chừng đã được giấu 1 cách kỹ càng
"My husband may not be the world’s most glamorous guy, but he_brings_home_the_bacon.","Chồng tôi có thể không phải là một người quyến rũ nhất thế giới, nhưng anh ta là trụ cột trong gia đình."
That’s just a_fish_story. Don't try to fool me.,Đó chỉ là một câu chuyện bịa đặt. Đừng có cố mà lừa tôi.
Only the_top_banana can make a decision,Chỉ có người cầm quyền có thể đưa ra quyết định.
"You have to work hard—no pain, no gain",Bạn phải làm việc chăm chỉ—không đau thì không thành công.
I trust her about as_far_as_I_can_throw_her.,Tôi chỉ tin cô ta một chút.
Ten_to_one I'm going to win.,Tôi rất có thể sẽ thắng.
Hit_the_nail_in_the_head,Nói đúng trọng tâm.
We had to identify the_elephant_in_the_room before we made a decision.,Chúng ta phải xác định vấn đề quan trọng trước khi đưa ra quyết định.
I have_a_bun_in_the_oven.,Tôi đã có bầu.
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
She's really on_the_ball with her new project.,Cô ấy rất nhanh nhạy với dự án mới.
Hurry up!—Time is money!,Nhanh lên!—Thời gian là tiền bạc!
It was her chance to speak and she was getting_cold_feet.,Đó là cơ hội để cô ấy lên tiếng nhưng cô ấy lại cảm thấy lo lắng.
He is the Jack_of_all_trades and master_of_none.,Nghề nào anh cũng biết nhưng chẳng tinh nghề nào.
He’s the black_sheep of the family.,	Anh ấy là kẻ lạc loài trong gia đình.
The new engine design is our ace_in_the_hole – but we have to keep it secret from our competitors.,Cái động cơ mới của ta là lợi thế bí mật của ta – ta phải giữ bí mật với đối thủ cạnh tranh
Getting her to go out with me will be like taking_candy_from_a_baby.,Khiến cô ta đi chơi với tôi sẽ là một chuyện rất dễ dàng.
She hit_the_nail_on_the_head with her comment.,Cô ấy đã nói trúng phóc với lời nhận xét của mình.
We're going to be late. Put_the_pedal_to_the_metal!,Chúng ta sẽ muộn mất. Hãy lái nhanh nhất có thể!
I can’t help you with your presentation right now. I have bigger_fish_to_fry.,Tôi không thể giúp bạn được. Tôi có việc quan trọng hơn phải làm.
The_ball_is_in_your_court_now.,	Quyết định giờ là ở bạn.
" I’m sorry_to_rain_on_your_parade, but the park is closed.","Tôi xin lỗi vì đã làm hỏng kế hoạch của bạn, nhưng công viên đóng cửa rồi"
He finally threw_in_the_towel after years of trying.,"Sau nhiều năm cố gắng, anh ấy cuối cùng cũng bỏ cuộc."
"I can't drive, I had_one_too_many","Tôi không lái được, tôi đã uống quá nhiều."
Better_make_hay_while_sun_shines!,Việc hôm nay chớ để ngày mai!
I think we have solved this problem once_and_for_all.,Tôi nghĩ chúng ta đã giải quyết được vấn đề này một lần và mãi mãi.
I'd buy that car in a_hot_minute if i had the money.,Tôi sẽ mua cái xe đó ngay bây giờ nếu tôi có đủ tiền.
break_a_leg,chúc may mắn
I made it by_the_skin_of_my_teeth.,Tôi gần như không làm được.
Pull_yourself_together and face the challenge.,Hãy bình tĩnh và đối mặt với thử thách.
Don’t_judge_a_book_by_its_cover,Đừng nhìn mặt bắt hình dong
That idea is out_of_the_blue.,	Ý tưởng đó đến hoàn toàn bất ngờ.
I take_something_for_granted that I woụld find the perfect job.,Tôi đã cho rằng mình sẽ tìm được công việc hoàn hảo mà không cần cố gắng.
Don't cry_over_spilled_milk.,Đừng than vãn chuyện đã rồi. 
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
You've lost_touch with him.,Bạn đã mất liên lạc với anh ấy.
He's going_around_the_bend.,Anh ấy đang mất trí.
He kicked_the_bucket last night.,Ông ấy đã qua đời tối qua.
Break_a_leg in your performance!,Chúc may mắn trong buổi diễn nhé!
She stole_my_thunder by announcing the news first,Cô ấy cướp mất sự chú ý của tôi bằng cách thông báo tin trước.
Don't give up!—practice_makes_perfect.,Đừng bỏ cuộc!—có công mài sắt có ngày lên kim.
She let_the_cat_out_of_the_box and fnally told her parents aboụt her plans of getting married.,Cô ấy đã để lộ bí mật và cuối cùng nói với bố mẹ về kế hoạch kết hôn của mình.
I made it by_the_skin_of_my_teeth.,Tôi gần như không làm được.
